time,usdc,dai,usdt,usdc_p,dai_p,usdt_p,ideal
2021-02-24T00:00:00+00:00,255264644.037669000000000000000000,190625046.216683001117326933000000000000000000,269734028.859966000000000000000000,0.35670232444725813,0.26637608721606865,0.37692158833667316,0.33
2021-02-23T00:00:00+00:00,235801027.337275000000000000000000,150279375.839134154542480854000000000000000000,316221972.890169000000000000000000,0.33575427817564596,0.21398101581374643,0.4502647060106076,0.33
2021-02-22T00:00:00+00:00,256280530.160166000000000000000000,192774543.304167411499875002000000000000000000,276224513.671643000000000000000000,0.353354119853532,0.26579342190700006,0.38085245823946795,0.33
2021-02-21T00:00:00+00:00,248085746.421293000000000000000000,224418716.784105770271060702000000000000000000,250833034.239274000000000000000000,0.34297371185332304,0.3102545044006533,0.34677178374602363,0.33
2021-02-20T00:00:00+00:00,239567386.236698000000000000000000,234932919.089325475162834089000000000000000000,242722015.897459000000000000000000,0.33402109659391116,0.32755940820213497,0.33841949520395387,0.33
2021-02-19T00:00:00+00:00,231630941.285266000000000000000000,214079270.034690625818939491000000000000000000,259601946.402232000000000000000000,0.32840911467245937,0.3035241455727367,0.3680667397548039,0.33
2021-02-18T00:00:00+00:00,232447218.069438000000000000000000,219701953.312169734087757902000000000000000000,264731552.795497000000000000000000,0.3242481074327396,0.30646932732688814,0.3692825652403723,0.33
2021-02-17T00:00:00+00:00,237922477.524988000000000000000000,232817316.436880667421257202000000000000000000,256090076.564865000000000000000000,0.3273427347620779,0.32031886123248887,0.3523384040054332,0.33
2021-02-16T00:00:00+00:00,276513599.781930000000000000000000,238117311.152712539047403162000000000000000000,285088395.219923000000000000000000,0.34576331677115585,0.29775111007097593,0.3564855731578682,0.33
2021-02-15T00:00:00+00:00,297564163.769825000000000000000000,236353165.204617910045222462000000000000000000,276429644.195364000000000000000000,0.3672058681306025,0.2916690911796501,0.34112504068974736,0.33
2021-02-14T00:00:00+00:00,300317517.703859000000000000000000,230493985.231917432202203762000000000000000000,271857625.741013000000000000000000,0.3741485837370329,0.2871593998038641,0.33869201645910296,0.33
2021-02-13T00:00:00+00:00,256659234.760470000000000000000000,210964128.277888613316334466000000000000000000,225724672.485493000000000000000000,0.3701737390321643,0.30426873297260726,0.32555752799522847,0.33
2021-02-12T00:00:00+00:00,263029103.652597000000000000000000,218960661.313296062603964166000000000000000000,226099143.853121000000000000000000,0.3714633859910192,0.3092276387699527,0.3193089752390281,0.33
2021-02-11T00:00:00+00:00,257743300.418767000000000000000000,217225701.455934561199163715000000000000000000,231616800.879159000000000000000000,0.3647728264766055,0.30743003979037664,0.32779713373301783,0.33
2021-02-10T00:00:00+00:00,236002231.170185000000000000000000,199263810.589763388364909505000000000000000000,221769407.493834000000000000000000,0.3591925389082443,0.30327710752300213,0.33753035356875355,0.33
2021-02-09T00:00:00+00:00,237598409.357145000000000000000000,214520283.810467481616709265000000000000000000,210899769.672734000000000000000000,0.3583586621996652,0.32355099568641055,0.3180903421139243,0.33
2021-02-08T00:00:00+00:00,239828406.683591000000000000000000,197968837.119360945108559765000000000000000000,235578198.822124000000000000000000,0.35615852836665357,0.29399473842943014,0.3498467332039163,0.33
2021-02-07T00:00:00+00:00,249886834.388579000000000000000000,207939223.352095447428106865000000000000000000,214280624.476745000000000000000000,0.371796384413484,0.30938425231253586,0.3188193632739802,0.33
2021-02-06T00:00:00+00:00,240048638.767452000000000000000000,207177742.194840605514305629000000000000000000,214251182.457225000000000000000000,0.36289762804125536,0.3132044889381166,0.32389788302062805,0.33
2021-02-05T00:00:00+00:00,225506419.620001000000000000000000,219811160.301168160200705274000000000000000000,200702970.389973000000000000000000,0.3490700404366248,0.3402541299890549,0.3106758295743203,0.33
2021-02-04T00:00:00+00:00,213284201.501220000000000000000000,207233853.137830692709803513000000000000000000,189054668.568983000000000000000000,0.3498913146552176,0.33996575838762777,0.31014292695715456,0.33
2021-02-03T00:00:00+00:00,213118499.391273000000000000000000,187089290.733607461297897113000000000000000000,181579771.390924000000000000000000,0.3663166995801844,0.3215766425912581,0.31210665782855745,0.33
2021-02-02T00:00:00+00:00,203133453.676930000000000000000000,179359163.558335779366519096000000000000000000,183339359.144354000000000000000000,0.35899960086498656,0.3169830816312911,0.32401731750372237,0.33
2021-02-01T00:00:00+00:00,195326795.141059000000000000000000,169426513.890184351551053896000000000000000000,188670584.592054000000000000000000,0.3529424684977793,0.3061423907467013,0.3409151407555194,0.33
2021-01-31T00:00:00+00:00,186219567.432707000000000000000000,175927902.916075806586300296000000000000000000,167083293.375797000000000000000000,0.3518683723564087,0.3324219130383575,0.3157097146052338,0.33
2021-01-30T00:00:00+00:00,183536246.880072000000000000000000,172199090.281015438935573196000000000000000000,172445817.555839000000000000000000,0.34748730665795236,0.32602278355293435,0.3264899097891133,0.33
2021-01-29T00:00:00+00:00,185021463.356418000000000000000000,176944636.540798802920626596000000000000000000,157029274.785975000000000000000000,0.3564992529449032,0.3409368275176063,0.30256391953749057,0.33
2021-01-28T00:00:00+00:00,198065082.449188000000000000000000,168736183.242826335479066296000000000000000000,143634288.879457000000000000000000,0.3880315167611524,0.3305729425225606,0.28139554071628703,0.33
2021-01-27T00:00:00+00:00,186586829.685265000000000000000000,167004223.788185240660220796000000000000000000,150236070.591816000000000000000000,0.3703389928270205,0.33147128411957305,0.29818972305340646,0.33
2021-01-26T00:00:00+00:00,190449800.962360000000000000000000,155719309.209280457344247500000000000000000000,155403835.460663000000000000000000,0.37970509099582944,0.31046193891692925,0.3098329700872413,0.33
2021-01-25T00:00:00+00:00,176804477.553937000000000000000000,155212880.075260056632737500000000000000000000,167941263.855847000000000000000000,0.3536382211567203,0.31045145219063525,0.33591032665264453,0.33
2021-01-24T00:00:00+00:00,166000798.808040000000000000000000,125847972.938878446885139500000000000000000000,150897388.412474000000000000000000,0.3749344743007557,0.28424407541687563,0.34082145028236865,0.33
2021-01-23T00:00:00+00:00,161360827.632831000000000000000000,107936618.326074519169172740000000000000000000,159780624.380809000000000000000000,0.3760640284064776,0.25155473044944415,0.3723812411440782,0.33
2021-01-22T00:00:00+00:00,144655807.539053000000000000000000,114133324.802372397300636018000000000000000000,128506292.775925000000000000000000,0.3735024948854543,0.2946931912965149,0.3318043138180308,0.33
2021-01-21T00:00:00+00:00,116646351.025699000000000000000000,115937090.217640201654206218000000000000000000,135613226.558646000000000000000000,0.3168044722458786,0.3148781625584693,0.36831736519565217,0.33
2021-01-20T00:00:00+00:00,114460530.923079000000000000000000,110983066.840686452952010618000000000000000000,112818851.705061000000000000000000,0.33837788114766026,0.32809750835472035,0.3335246104976194,0.33
2021-01-19T00:00:00+00:00,111151167.869395000000000000000000,112307468.313735777573493242000000000000000000,109122716.478916000000000000000000,0.33420745625008474,0.3376842009174737,0.32810834283244156,0.33
2021-01-18T00:00:00+00:00,109285280.770739000000000000000000,102489804.876747943739487042000000000000000000,105288939.386281000000000000000000,0.3446789043919439,0.3232464006783254,0.33207469492973074,0.33
2021-01-17T00:00:00+00:00,102252582.383839000000000000000000,96608008.953190806207565598000000000000000000,110286961.913914000000000000000000,0.330756563681543,0.3124980545285809,0.3567453817898761,0.33
2021-01-16T00:00:00+00:00,95336986.902132000000000000000000,87317540.919671735400402098000000000000000000,99953301.920373000000000000000000,0.337347294974481,0.3089707068602153,0.35368199816530366,0.33
2021-01-15T00:00:00+00:00,89191304.713141000000000000000000,80484815.583232841049546398000000000000000000,107264249.433800000000000000000000,0.32205960005051304,0.2906214636083938,0.38731893634109316,0.33
2021-01-14T00:00:00+00:00,86522064.672388000000000000000000,68017203.167894858030389393000000000000000000,114310721.565990000000000000000000,0.3218228308785243,0.2529931405915386,0.4251840285299371,0.33
2021-01-13T00:00:00+00:00,91888468.793039000000000000000000,81365314.194271405157667393000000000000000000,98641016.032136000000000000000000,0.33795596357276025,0.29925292608650456,0.3627911103407352,0.33
2021-01-12T00:00:00+00:00,92864340.625979000000000000000000,86444795.328536754799810993000000000000000000,92918375.039346000000000000000000,0.3411276850269293,0.3175461400390423,0.3413261749340284,0.33
2021-01-11T00:00:00+00:00,88072476.758620000000000000000000,79079314.360615475067878593000000000000000000,98300941.759175000000000000000000,0.331782143674374,0.29790356084537817,0.37031429548024786,0.33
2021-01-10T00:00:00+00:00,99672479.991221000000000000000000,85880038.859833238285641711000000000000000000,89929950.774897000000000000000000,0.3618106085899252,0.31174411561084353,0.32644527579923127,0.33
2021-01-09T00:00:00+00:00,112548421.851296000000000000000000,81004068.149685700292156611000000000000000000,68298905.736777000000000000000000,0.4298179184196979,0.30935129416232093,0.26083078741798116,0.33
2021-01-08T00:00:00+00:00,96364635.528726000000000000000000,79263761.279222610560521011000000000000000000,84341333.615342000000000000000000,0.3706763682518814,0.3048961167523732,0.3244275149957454,0.33
