time,frax,crv3,frax_p,crv3_p,total,ideal
2022-05-20T00:00:00+00:00,740483458.463321724192423147000000000000000000,602922510.688408749527392399000000000000000000,0.55119857695056,0.44880142304944004,1343405969.151730473719815546000000000000000000,0.50
2022-05-19T00:00:00+00:00,747439389.033239913005597047000000000000000000,583425040.825646970900531493000000000000000000,0.5616194799890262,0.4383805200109738,1330864429.858886883906128540000000000000000000,0.50
2022-05-18T00:00:00+00:00,742228749.456086326758850733000000000000000000,572189873.080227772187458895000000000000000000,0.5646821619309341,0.4353178380690659,1314418622.536314098946309628000000000000000000,0.50
2022-05-17T00:00:00+00:00,788707912.544004876423186433000000000000000000,577778244.508042347579286890000000000000000000,0.5771795846402886,0.4228204153597113,1366486157.052047224002473323000000000000000000,0.50
2022-05-16T00:00:00+00:00,786804154.005111213283903233000000000000000000,581458331.953082933086423390000000000000000000,0.5750388993922554,0.42496110060774467,1368262485.958194146370326623000000000000000000,0.50
2022-05-15T00:00:00+00:00,770327743.449169890867869633000000000000000000,548360808.087255341868726888000000000000000000,0.5841620013699586,0.41583799863004145,1318688551.536425232736596521000000000000000000,0.50
2022-05-14T00:00:00+00:00,762584081.075508400019848909000000000000000000,532451667.998806096216292288000000000000000000,0.588851760749153,0.411148239250847,1295035749.074314496236141197000000000000000000,0.50
2022-05-13T00:00:00+00:00,746115173.730428340507145209000000000000000000,551589259.191986197567867692000000000000000000,0.574950007722626,0.4250499922773739,1297704432.922414538075012901000000000000000000,0.50
2022-05-12T00:00:00+00:00,898976025.803078050991637009000000000000000000,605163100.791868740322540892000000000000000000,0.5976681344884431,0.40233186551155686,1504139126.594946791314177901000000000000000000,0.50
2022-05-11T00:00:00+00:00,1154827717.467362552054113183000000000000000000,851392010.792305700146851596000000000000000000,0.5756237470903244,0.4243762529096756,2006219728.259668252200964779000000000000000000,0.50
2022-05-10T00:00:00+00:00,1564118021.728158205225512762000000000000000000,1169641119.997226980104164785000000000000000000,0.5721491691989297,0.42785083080107034,2733759141.725385185329677547000000000000000000,0.50
