time,cvxcrv,crv,cvxcrv_p,crv_p,ideal
2022-02-03T00:00:00+00:00,38273052.181187878356118541000000000000000000,17191999.317446878864244425000000000000000000,0.6900390632852824,0.3099609367147176,0.50
2022-02-02T00:00:00+00:00,38339916.258027105220805441000000000000000000,17183030.212164774935594425000000000000000000,0.6905238049391043,0.30947619506089574,0.50
2022-02-01T00:00:00+00:00,37519694.151182270733265141000000000000000000,17938628.451561627208393825000000000000000000,0.6765385678889234,0.32346143211107653,0.50
2022-01-31T00:00:00+00:00,39809073.260126645940319741000000000000000000,14891439.923841244914748425000000000000000000,0.727764164227151,0.272235835772849,0.50
2022-01-30T00:00:00+00:00,39459816.527123929804031141000000000000000000,15789446.016797793187299059000000000000000000,0.7142143570831267,0.28578564291687325,0.50
2022-01-29T00:00:00+00:00,39970036.339827107505391641000000000000000000,14964335.592829352763035359000000000000000000,0.7275961285008593,0.2724038714991407,0.50
2022-01-28T00:00:00+00:00,41471445.777618102881142141000000000000000000,13411128.358608997430116959000000000000000000,0.7556395892561364,0.24436041074386355,0.50
2022-01-27T00:00:00+00:00,42785083.097619746704600471000000000000000000,12175803.487983753931457688000000000000000000,0.7784642089239315,0.22153579107606852,0.50
2022-01-26T00:00:00+00:00,43735291.008201008772065671000000000000000000,11780650.656973191207776519000000000000000000,0.7877969768030912,0.2122030231969087,0.50
2022-01-25T00:00:00+00:00,43868994.268001156193010071000000000000000000,10687784.678468088538888319000000000000000000,0.8040979529060014,0.19590204709399858,0.50
2022-01-24T00:00:00+00:00,44393434.067127900364853871000000000000000000,9750841.085723392717921481000000000000000000,0.8199100263472656,0.18008997365273444,0.50
2022-01-23T00:00:00+00:00,41251212.908026407954659871000000000000000000,10458056.636583074330530481000000000000000000,0.7977527679527375,0.20224723204726244,0.50
2022-01-22T00:00:00+00:00,40284973.569365691964162871000000000000000000,11265391.267834353753886413000000000000000000,0.7814682533593833,0.21853174664061664,0.50
2022-01-21T00:00:00+00:00,42961727.958218543566647671000000000000000000,9536497.390932436919182961000000000000000000,0.8183462902315676,0.18165370976843248,0.50
2022-01-20T00:00:00+00:00,42613066.849764557083103441000000000000000000,10427889.957929585603859470000000000000000000,0.8033992864092355,0.19660071359076448,0.50
2022-01-19T00:00:00+00:00,42448493.655474482244150421000000000000000000,10079328.177570175052113691000000000000000000,0.808114484365895,0.19188551563410505,0.50
2022-01-18T00:00:00+00:00,41080314.079972156651238521000000000000000000,11116293.501379912900805182000000000000000000,0.7870303451415996,0.21296965485840033,0.50
2022-01-17T00:00:00+00:00,39291710.963949252847010689000000000000000000,12995080.993534137686130902000000000000000000,0.7514653221773294,0.24853467782267058,0.50
2022-01-16T00:00:00+00:00,37687837.509407553403799806000000000000000000,14806904.265669496958847923000000000000000000,0.7179354776310305,0.28206452236896945,0.50
2022-01-15T00:00:00+00:00,37142917.091252431311330106000000000000000000,15046376.723483047567619223000000000000000000,0.7116961042451441,0.288303895754856,0.50
2022-01-14T00:00:00+00:00,34817510.842375218223760306000000000000000000,13656314.268015526316484523000000000000000000,0.7182744659222656,0.28172553407773443,0.50
2022-01-13T00:00:00+00:00,35203920.093019383994355506000000000000000000,13272671.875334315696336162000000000000000000,0.7262045177598514,0.2737954822401486,0.50
2022-01-12T00:00:00+00:00,34601353.469722971633999116000000000000000000,13368284.940908965268436465000000000000000000,0.7213177880042966,0.27868221199570337,0.50
2022-01-11T00:00:00+00:00,34615256.598771710805937816000000000000000000,12850777.263440559416838965000000000000000000,0.7292637235977057,0.27073627640229425,0.50
2022-01-10T00:00:00+00:00,35585069.339841027648460916000000000000000000,12040285.382130687589645849000000000000000000,0.7471874917799622,0.25281250822003776,0.50
2022-01-09T00:00:00+00:00,35316345.581189915769289816000000000000000000,12737487.760345423786011065000000000000000000,0.7349329517623359,0.2650670482376642,0.50
2022-01-08T00:00:00+00:00,35613236.669206298255842416000000000000000000,11903221.503578705319232224000000000000000000,0.7494926608314367,0.2505073391685633,0.50
2022-01-07T00:00:00+00:00,44681959.736501743499640435000000000000000000,12079694.171694554832585174000000000000000000,0.7871856554562047,0.21281434454379536,0.50
2022-01-06T00:00:00+00:00,44968889.572472457799866435000000000000000000,12223533.497690357822368787000000000000000000,0.7862735509091002,0.21372644909089983,0.50
2022-01-05T00:00:00+00:00,45516919.189780259212989586000000000000000000,12159787.025209159318608601000000000000000000,0.7891733453036714,0.21082665469632852,0.50
2022-01-04T00:00:00+00:00,44493560.707641055781044086000000000000000000,14395201.351143868383228426000000000000000000,0.7555526581323946,0.2444473418676054,0.50
2022-01-03T00:00:00+00:00,45227313.504909279616017686000000000000000000,14027770.059533127083760126000000000000000000,0.7632646987278765,0.2367353012721235,0.50
2022-01-02T00:00:00+00:00,44356387.041329546070729116000000000000000000,15422829.994224157788009034000000000000000000,0.7420034794859989,0.2579965205140011,0.50
2022-01-01T00:00:00+00:00,43503993.086500620325072259000000000000000000,16957799.586757461475961800000000000000000000,0.7195286669980296,0.2804713330019704,0.50
2021-12-31T00:00:00+00:00,41872933.446282619196709959000000000000000000,18926201.246843714548687400000000000000000000,0.6887093649873371,0.3112906350126628,0.50
2021-12-30T00:00:00+00:00,43569266.125846350326731959000000000000000000,18984428.035411056276527300000000000000000000,0.6965098817909774,0.3034901182090226,0.50
2021-12-29T00:00:00+00:00,43761153.306798107529879259000000000000000000,18928647.714339813180972500000000000000000000,0.6980585772164535,0.3019414227835466,0.50
2021-12-28T00:00:00+00:00,44846873.464856142347576959000000000000000000,18186081.540200075959709270000000000000000000,0.7114829609568317,0.2885170390431683,0.50
2021-12-27T00:00:00+00:00,44651934.028888399756179759000000000000000000,18824629.099092949302472470000000000000000000,0.7034396922035814,0.2965603077964187,0.50
2021-12-26T00:00:00+00:00,45430392.406535307390366459000000000000000000,19438146.313925334791534901000000000000000000,0.7003455496709962,0.29965445032900384,0.50
2021-12-25T00:00:00+00:00,44777184.671270223222038859000000000000000000,20291905.164234330430465901000000000000000000,0.6881483171881994,0.3118516828118007,0.50
2021-12-24T00:00:00+00:00,44024111.414653443176072259000000000000000000,21097371.947850721659782701000000000000000000,0.6760305377196272,0.3239694622803729,0.50
2021-12-23T00:00:00+00:00,43920394.605785970149071859000000000000000000,20738911.541202196552460358000000000000000000,0.679258674782915,0.32074132521708504,0.50
2021-12-22T00:00:00+00:00,41448200.110198693487976559000000000000000000,21312205.964756545681432958000000000000000000,0.6604195654931995,0.3395804345068006,0.50
2021-12-21T00:00:00+00:00,40049826.062514217400392859000000000000000000,21639794.777666852578352003000000000000000000,0.6492149816623296,0.35078501833767045,0.50
2021-12-20T00:00:00+00:00,40248078.347829130134280259000000000000000000,22091530.472261084951747603000000000000000000,0.6456260972696121,0.35437390273038794,0.50
2021-12-19T00:00:00+00:00,40389129.177966345678757459000000000000000000,21874796.593615155597854553000000000000000000,0.6486762387282806,0.3513237612717194,0.50
2021-12-18T00:00:00+00:00,37539440.664911891478125670000000000000000000,22450613.538895908882022553000000000000000000,0.6257610726167525,0.3742389273832475,0.50
