,date,Token,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
155,2021-01-01,BUSD,7.0,6682.0,7.0,8.0,9.0,6.841176208,12278562.42,0.0,0.0,43451.58531
156,2021-01-01,BUSD,16.0,6675.0,12.0,12.0,14.0,356.1793035,12278555.58,0.0,0.0,43451.58531
157,2021-01-01,BUSD,13.0,6659.0,10.0,8.0,12.0,333.2823719,12278199.4,312.0,0.0,43451.58531
158,2021-01-01,BUSD,42.0,6646.0,15.0,16.0,19.0,62.92092171,12277866.12,0.0,0.0,43139.58531
159,2021-01-01,BUSD,53.0,6604.0,16.0,21.0,23.0,24102.17883,12277803.2,0.0,-24000.0,43139.58531
160,2021-01-01,BUSD,30.0,6551.0,16.0,17.0,19.0,244.0873179,12253701.02,0.0,0.0,67139.58531
161,2021-01-01,BUSD,3.0,6521.0,5.0,5.0,6.0,0.990875834,12253456.93,0.0,0.0,67139.58531
162,2021-01-01,BUSD,8.0,6518.0,10.0,9.0,12.0,4.703335945,12253455.94,0.0,0.0,67139.58531
163,2021-01-01,BUSD,5.0,6510.0,8.0,8.0,12.0,2.243862757,12253451.24,0.0,0.0,67139.58531
164,2021-01-01,BUSD,6.0,6505.0,5.0,5.0,5.0,2.535255803,12253448.99,0.0,0.0,67139.58531
165,2021-01-01,BUSD,25.0,6499.0,9.0,12.0,15.0,678.1109046,12253446.46,666.9379996,0.0,67139.58531
166,2021-01-01,BUSD,17.0,6474.0,10.0,11.0,14.0,33.39295342,12252768.35,0.0,0.0,66472.64731
167,2021-01-01,BUSD,34.0,6457.0,11.0,10.0,14.0,24.32434145,12252734.95,0.0,0.0,66472.64731
168,2021-01-01,BUSD,73.0,6423.0,16.0,16.0,17.0,81.20480764,12252710.63,0.0,0.0,66472.64731
169,2021-01-01,BUSD,6.0,6350.0,7.0,7.0,8.0,14.97617391,12252629.42,0.0,0.0,66472.64731
170,2021-01-01,BUSD,4.0,6344.0,6.0,7.0,8.0,74754.21961,12252614.45,37375.08852,-37375.08852,66472.64731
171,2021-01-01,BUSD,48.0,6340.0,13.0,13.0,14.0,146.0285064,12177860.23,0.0,0.0,66472.64731
172,2021-01-01,BUSD,3.0,6292.0,2.0,3.0,5.0,1.526923816,12177714.2,0.0,0.0,66472.64731
173,2021-01-01,BUSD,5.0,6289.0,2.0,4.0,5.0,48859.27347,12177712.67,0.0,0.0,66472.64731
174,2021-01-01,BUSD,13.0,6284.0,9.0,10.0,12.0,4.318965633,12128853.4,0.0,0.0,66472.64731
175,2021-01-01,BUSD,4.0,6271.0,4.0,4.0,7.0,0.803919471,12128849.08,0.0,0.0,66472.64731
176,2021-01-01,BUSD,19.0,6267.0,9.0,8.0,11.0,8.097685505,12128848.28,0.0,0.0,66472.64731
177,2021-01-01,BUSD,5.0,6248.0,5.0,3.0,7.0,70.05118655,12128840.18,0.0,-69.16276352,66472.64731
178,2021-01-01,BUSD,3.0,6243.0,3.0,3.0,5.0,2.252880368,12128770.13,0.0,0.0,66541.81007
179,2021-01-01,BUSD,7.0,6240.0,6.0,6.0,9.0,12.82000875,12128767.88,0.0,0.0,66541.81007
180,2021-01-01,BUSD,28.0,6233.0,12.0,11.0,12.0,28.71565836,12128755.06,0.0,0.0,66541.81007
181,2021-01-01,BUSD,11.0,6205.0,8.0,7.0,10.0,12.29124539,12128726.34,0.0,0.0,66541.81007
182,2021-01-01,BUSD,6.0,6194.0,6.0,9.0,10.0,3.187854649,12128714.05,0.0,0.0,66541.81007
183,2021-01-01,BUSD,5.0,6188.0,5.0,7.0,8.0,1500.016179,12128710.86,0.0,0.0,66541.81007
184,2021-01-01,BUSD,18.0,6183.0,7.0,7.0,8.0,23.51539783,12127210.84,0.0,0.0,66541.81007
185,2021-01-01,BUSD,19.0,6165.0,14.0,16.0,18.0,2741.924234,12127187.33,87.12871287,-1932.47078,66541.81007
186,2021-01-01,BUSD,4.0,6146.0,3.0,4.0,7.0,2096.860354,12124445.41,1932.47078,0.0,68387.15214
187,2021-01-01,BUSD,3.0,6142.0,3.0,3.0,6.0,73.16276352,12122348.54,69.16276352,0.0,66454.68136
188,2021-01-01,BUSD,,6139.0,,,,,12122275.38,0.0,0.0,66385.5186
189,2021-01-01,BUSD,25.0,6139.0,14.0,15.0,16.0,200.3752892,12122275.38,0.0,0.0,66385.5186
190,2021-01-01,BUSD,5.0,6114.0,3.0,3.0,5.0,10.60103619,12122075.01,9.035417234,0.0,66385.5186
191,2021-01-01,BUSD,4.0,6109.0,4.0,4.0,6.0,57.1032436,12122064.41,0.0,0.0,66376.48318
192,2021-01-01,BUSD,4.0,6105.0,3.0,4.0,5.0,10081.30789,12122007.3,5141.020242,-4937.287644,66376.48318
193,2021-01-01,BUSD,9.0,6101.0,9.0,8.0,11.0,4011.278929,12111925.99,0.0,-735.9629602,66172.75058
194,2021-01-01,BUSD,1.0,6092.0,1.0,1.0,2.0,2451.0,12107914.72,0.0,-2451.0,66908.71354
195,2021-01-01,BUSD,11.0,6091.0,3.0,2.0,4.0,9.267611643,12105463.72,0.0,0.0,69359.71354
196,2021-01-01,BUSD,80.0,6080.0,19.0,16.0,20.0,1028.920043,12105454.45,206.1599915,0.0,69359.71354
197,2021-01-01,BUSD,16.0,6000.0,12.0,13.0,15.0,1017.456204,12104425.53,735.976296,0.0,69153.55355
198,2021-01-01,BUSD,36.0,5984.0,16.0,18.0,20.0,25918.16768,12103408.07,5000.0,-3661.613483,68417.57725
199,2021-01-01,BUSD,51.0,5948.0,20.0,21.0,24.0,10554.29604,12077489.9,5169.570524,-5169.570524,67079.19074
200,2021-01-01,BUSD,29.0,5897.0,9.0,10.0,10.0,137.795986,12066935.61,0.0,0.0,67079.19074
201,2021-01-01,BUSD,18.0,5868.0,9.0,13.0,14.0,126.9403475,12066797.81,0.0,-5.054486474,67079.19074
202,2021-01-01,BUSD,22.0,5850.0,10.0,9.0,11.0,126.813551,12066670.87,0.0,0.0,67084.24522
203,2021-01-01,BUSD,38.0,5828.0,25.0,25.0,31.0,5982.764242,12066544.06,3000.0,-2750.0,67084.24522
204,2021-01-01,BUSD,14.0,5790.0,8.0,8.0,10.0,47.65210914,12060561.29,0.0,0.0,66834.24522
205,2021-01-01,BUSD,9.0,5776.0,9.0,8.0,11.0,45.23670003,12060513.64,0.0,0.0,66834.24522
206,2021-01-01,BUSD,13.0,5767.0,10.0,9.0,11.0,55.03317068,12060468.4,0.0,0.0,66834.24522
207,2021-01-01,BUSD,7.0,5754.0,5.0,7.0,9.0,147.710361,12060413.37,0.0,0.0,66834.24522
208,2021-01-01,BUSD,2.0,5747.0,1.0,2.0,3.0,3.28756503,12060265.66,0.0,0.0,66834.24522
209,2021-01-01,BUSD,15.0,5745.0,9.0,6.0,11.0,2816.219813,12060262.37,2790.0,0.0,66834.24522
210,2021-01-01,BUSD,22.0,5730.0,13.0,12.0,18.0,60.59408098,12057446.15,0.0,0.0,64044.24522
211,2021-01-01,BUSD,36.0,5708.0,11.0,9.0,12.0,2078.645507,12057385.56,1000.0,-1000.0,64044.24522
212,2021-01-01,BUSD,16.0,5672.0,9.0,8.0,10.0,125.0438339,12055306.91,0.0,0.0,64044.24522
213,2021-01-01,BUSD,40.0,5656.0,11.0,13.0,14.0,27794.39698,12055181.87,4145.894985,-2951.285648,64044.24522
214,2021-01-01,BUSD,27.0,5616.0,10.0,12.0,16.0,94.64802037,12027387.47,0.0,0.0,62849.63589
215,2021-01-01,BUSD,22.0,5589.0,15.0,15.0,17.0,62674.76866,12027292.83,30376.30426,-30376.30426,62849.63589
216,2021-01-01,BUSD,15.0,5567.0,10.0,8.0,11.0,44.29100383,11964618.06,0.0,0.0,62849.63589
217,2021-01-01,BUSD,25.0,5552.0,11.0,11.0,13.0,59.17779371,11964573.77,0.0,0.0,62849.63589
218,2021-01-01,BUSD,8.0,5527.0,8.0,7.0,9.0,20.30987287,11964514.59,0.0,0.0,62849.63589
