date,pool_name,ideal,token_1,token_1_balance,token_2,token_2_balance,token_3,token_3_balance,alusd,crv3,alusd_p,crv3_p,cvxcrv,crv,cvxcrv_p,crv_p,usdc,dai,usdt,usdc_p,dai_p,usdt_p,fei,fei_p,frax,frax_p,total,lusd,lusd_p,mim,mim_p,ust,ust_p,wbtc,renbtc,wbtc_p,renbtc_p,sbtc,sbtc_p,susd,susd_p,wust,protocol,chain
2020-06-11,renbtc:wbtc,0.5,renbtc,32.64623254,wbtc,23.67568137,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,23.67568137,32.64623254,0.4203635801125779,0.5796364198874221,,,,,,Curve,Ethereum
2020-06-12,susd:usdc-usdt-dai,0.5,susd,3561862.8730069087,crv3,2827205.069041591,n/a,0,,2827205.069041591,,0.4425066527207905,,,,,,,,,,,,,,,,,,,,,,,,,,,,3561862.8730069087,0.5574933472792095,,Curve,Ethereum
2020-06-12,renbtc:wbtc,0.5,renbtc,38.50252958,wbtc,35.26249439,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,35.26249439,38.50252958,0.4780381336870594,0.5219618663129406,,,,,,Curve,Ethereum
2020-06-13,susd:usdc-usdt-dai,0.5,susd,3689086.7603695006,crv3,2949390.39915933,n/a,0,,2949390.39915933,,0.4442871954339396,,,,,,,,,,,,,,,,,,,,,,,,,,,,3689086.7603695006,0.5557128045660604,,Curve,Ethereum
2020-06-13,renbtc:wbtc,0.5,renbtc,46.14540414,wbtc,32.74407803,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,32.74407803,46.14540414,0.415062656380978,0.584937343619022,,,,,,Curve,Ethereum
2020-06-14,renbtc:wbtc,0.5,renbtc,59.0611515,wbtc,28.50968436,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,28.50968436,59.0611515,0.3255614050044994,0.6744385949955006,,,,,,Curve,Ethereum
2020-06-14,susd:usdc-usdt-dai,0.5,susd,3886166.5791777023,crv3,1611471.9634441915,n/a,0,,1611471.9634441915,,0.2931207555663818,,,,,,,,,,,,,,,,,,,,,,,,,,,,3886166.5791777023,0.7068792444336182,,Curve,Ethereum
2020-06-15,renbtc:wbtc,0.5,renbtc,60.02650162,wbtc,28.10936308,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,28.10936308,60.02650162,0.3189321756322429,0.681067824367757,,,,,,Curve,Ethereum
2020-06-15,susd:usdc-usdt-dai,0.5,susd,4440447.404253541,crv3,1945723.842390512,n/a,0,,1945723.842390512,,0.3046776804510205,,,,,,,,,,,,,,,,,,,,,,,,,,,,4440447.404253541,0.6953223195489795,,Curve,Ethereum
2020-06-16,renbtc:wbtc,0.5,renbtc,62.6709443,wbtc,39.92302374,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,39.92302374,62.6709443,0.3891361695303037,0.6108638304696963,,,,,,Curve,Ethereum
2020-06-16,susd:usdc-usdt-dai,0.5,susd,4570902.9084913675,crv3,1607891.023988034,n/a,0,,1607891.023988034,,0.2602273261673296,,,,,,,,,,,,,,,,,,,,,,,,,,,,4570902.9084913675,0.7397726738326704,,Curve,Ethereum
2020-06-16,renbtc:wbtc:sbtc,0.33,renbtc,0.00156843,wbtc,0.00010431,sbtc,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010431,0.00156843,0.039027365175812,0.5868247566168052,0.001,0.3741478782073827,,,,Curve,Ethereum
2020-06-17,renbtc:wbtc,0.5,renbtc,62.10211199,wbtc,39.83321973,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,39.83321973,62.10211199,0.3907695110014991,0.6092304889985009,,,,,,Curve,Ethereum
2020-06-17,susd:usdc-usdt-dai,0.5,susd,4599932.1263850415,crv3,1576224.734438151,n/a,0,,1576224.734438151,,0.2552112535283087,,,,,,,,,,,,,,,,,,,,,,,,,,,,4599932.1263850415,0.7447887464716912,,Curve,Ethereum
2020-06-18,renbtc:wbtc,0.5,renbtc,88.77569295,wbtc,61.77600406,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,61.77600406,88.77569295,0.4103308384222111,0.5896691615777888,,,,,,Curve,Ethereum
2020-06-18,susd:usdc-usdt-dai,0.5,susd,4504139.442608737,crv3,1839877.1916083947,n/a,0,,1839877.1916083947,,0.2900177123882085,,,,,,,,,,,,,,,,,,,,,,,,,,,,4504139.442608737,0.7099822876117915,,Curve,Ethereum
2020-06-18,renbtc:wbtc:sbtc,0.33,renbtc,1.19863414,wbtc,2.98960431,sbtc,1.000235428852967,,,,,,,,,,,,,,,,,,,,,,,,,,2.98960431,1.19863414,0.5762010910732236,0.2310186324509329,1.000235428852967,0.1927802764758435,,,,Curve,Ethereum
2020-06-19,susd:usdc-usdt-dai,0.5,susd,3668078.988374404,crv3,1158987.5094241824,n/a,0,,1158987.5094241824,,0.2401018320242213,,,,,,,,,,,,,,,,,,,,,,,,,,,,3668078.988374404,0.7598981679757787,,Curve,Ethereum
2020-06-19,renbtc:wbtc,0.5,renbtc,76.62567365,wbtc,88.71992283,n/a,0,,,,,,,,,,,,,,,,,,,,,,,,,,88.71992283,76.62567365,0.5365726376676228,0.4634273623323772,,,,,,Curve,Ethereum
