date,pool_name,token_1,token_1_balance,token_2,token_2_balance,token_3,token_3_balance,token_4,token_4_balance,TVL,chain,protocol,protocol_version,daily_revenue
2021-11-09,av3CRV:BTC:WETH,av3CRV,33079517.23,BTC,999.6026209,WETH,7046.835685,n/a,0,33087563.6683059,Avalanche,Curve,V2,n/a
2021-11-09,av3CRV:WETH:BTC,av3CRV,33079517.23,WETH,33733707.69,BTC,67575310.86,n/a,0,134388535.78,Avalanche,Curve,V2,n/a
2021-11-09,avDAI:avUSDC:avUSDT,avDAI,211113906.8,avUSDC,252651319.1,avUSDT,158210284.1,n/a,0,621975510.0,Avalanche,Curve,V2,n/a
2021-11-10,av3CRV:MIM,av3CRV,-1.28e-16,MIM,17.54893926,n/a,0.0,n/a,0,17.54893926,Avalanche,Curve,V2,n/a
2021-11-10,av3CRV:BTC:WETH,av3CRV,33494310.21,BTC,1034.746657,WETH,7212.474607,n/a,0,33502557.431264,Avalanche,Curve,V2,n/a
2021-11-10,av3CRV:WETH:BTC,av3CRV,33494310.21,WETH,34144714.02,BTC,69290668.43,n/a,0,136929692.66000003,Avalanche,Curve,V2,n/a
2021-11-10,avDAI:avUSDC:avUSDT,avDAI,215711318.8,avUSDC,249451905.0,avUSDT,183785077.2,n/a,0,648948301.0,Avalanche,Curve,V2,n/a
2021-11-11,avDAI:avUSDC:avUSDT,avDAI,204338840.0,avUSDC,237767765.0,avUSDT,182251064.2,n/a,0,624357669.2,Avalanche,Curve,V2,n/a
2021-11-11,av3CRV:BTC:WETH,av3CRV,34057781.65,BTC,1059.778163,WETH,7306.835244,n/a,0,34066148.263407,Avalanche,Curve,V2,n/a
2021-11-11,av3CRV:WETH:BTC,av3CRV,34057781.65,WETH,34324108.71,BTC,68906386.91,n/a,0,137288277.26999998,Avalanche,Curve,V2,n/a
2021-11-12,av3CRV:WETH:BTC,av3CRV,34107339.72,WETH,34163963.41,BTC,68295256.84,n/a,0,136566559.97,Avalanche,Curve,V2,n/a
2021-11-12,av3CRV:BTC:WETH,av3CRV,34107339.72,BTC,1062.228082,WETH,7305.713754,n/a,0,34115707.661836,Avalanche,Curve,V2,n/a
2021-11-12,avDAI:avUSDC:avUSDT,avDAI,214522488.3,avUSDC,241611870.9,avUSDT,183945311.1,n/a,0,640079670.3000001,Avalanche,Curve,V2,n/a
2021-11-13,avDAI:avUSDC:avUSDT,avDAI,220211767.4,avUSDC,232239102.8,avUSDT,190650479.5,n/a,0,643101349.7,Avalanche,Curve,V2,n/a
2021-11-13,av3CRV:MIM,av3CRV,-1.28e-16,MIM,,n/a,0.0,n/a,0,-1.28e-16,Avalanche,Curve,V2,n/a
2021-11-13,av3CRV:WETH:BTC,av3CRV,34594238.7,WETH,34668248.23,BTC,68991473.63,n/a,0,138253960.56,Avalanche,Curve,V2,n/a
2021-11-13,av3CRV:BTC:WETH,av3CRV,34594238.7,BTC,1075.361287,WETH,7461.063577,n/a,0,34602775.124864,Avalanche,Curve,V2,n/a
2021-11-14,MIM:USDC.e:USDT.e,MIM,167288.8342,USDC.e,268350.2619,USDT.e,258918.2921,n/a,0,694557.3881999999,Avalanche,Curve,V2,n/a
2021-11-14,av3CRV:BTC:WETH,av3CRV,34791703.51,BTC,1063.909999,WETH,7524.480754,n/a,0,34800291.900753,Avalanche,Curve,V2,n/a
2021-11-14,avDAI:avUSDC:avUSDT,avDAI,225931427.3,avUSDC,223729321.9,avUSDT,191089405.3,n/a,0,640750154.5,Avalanche,Curve,V2,n/a
2021-11-14,av3CRV:MIM,av3CRV,-1.28e-16,MIM,16.54808599,n/a,0.0,n/a,0,16.54808599,Avalanche,Curve,V2,n/a
2021-11-14,av3CRV:WETH:BTC,av3CRV,34791703.51,WETH,34681287.25,BTC,68676718.88,n/a,0,138149709.64,Avalanche,Curve,V2,n/a
2021-11-15,MIM:USDC.e:USDT.e,MIM,14081737.83,USDC.e,18988355.9,USDT.e,16942087.97,n/a,0,50012181.699999996,Avalanche,Curve,V2,n/a
2021-11-15,av3CRV:BTC:WETH,av3CRV,34223512.36,BTC,1082.761016,WETH,7600.66815,n/a,0,34232195.789165996,Avalanche,Curve,V2,n/a
2021-11-15,av3CRV:MIM,av3CRV,7.97e-11,MIM,64.07734144,n/a,0.0,n/a,0,64.07734144007969,Avalanche,Curve,V2,n/a
2021-11-15,avDAI:avUSDC:avUSDT,avDAI,226081190.7,avUSDC,210356482.6,avUSDT,192000399.3,n/a,0,628438072.5999999,Avalanche,Curve,V2,n/a
2021-11-15,av3CRV:WETH:BTC,av3CRV,34223512.36,WETH,35431198.91,BTC,70583766.15,n/a,0,140238477.42000002,Avalanche,Curve,V2,n/a
2021-11-16,MIM:USDC.e:USDT.e,MIM,55909833.63,USDC.e,65032118.1,USDT.e,58570567.74,n/a,0,179512519.47,Avalanche,Curve,V2,n/a
2021-11-16,av3CRV:BTC:WETH,av3CRV,32789771.79,BTC,1103.444068,WETH,7902.996249,n/a,0,32798778.230317,Avalanche,Curve,V2,n/a
2021-11-16,av3CRV:MIM,av3CRV,2.06e-10,MIM,47797.32084,n/a,0.0,n/a,0,47797.320840000204,Avalanche,Curve,V2,n/a
2021-11-16,avDAI:avUSDC:avUSDT,avDAI,230531677.7,avUSDC,224258582.3,avUSDT,192055635.6,n/a,0,646845895.6,Avalanche,Curve,V2,n/a
2021-11-16,av3CRV:WETH:BTC,av3CRV,32789771.79,WETH,34053052.87,BTC,67210499.46,n/a,0,134053324.11999999,Avalanche,Curve,V2,n/a
2021-11-17,av3CRV:BTC:WETH,av3CRV,34893419.77,BTC,1161.652221,WETH,8135.176513,n/a,0,34902716.59873401,Avalanche,Curve,V2,n/a
2021-11-17,av3CRV:MIM,av3CRV,1.38e-10,MIM,279383.8689,n/a,0.0,n/a,0,279383.8689000001,Avalanche,Curve,V2,n/a
2021-11-17,MIM:USDC.e:USDT.e,MIM,45744260.92,USDC.e,68034071.71,USDT.e,67327536.73,n/a,0,181105869.36,Avalanche,Curve,V2,n/a
2021-11-17,avDAI:avUSDC:avUSDT,avDAI,229346828.2,avUSDC,234334899.8,avUSDT,195908837.6,n/a,0,659590565.6,Avalanche,Curve,V2,n/a
2021-11-17,av3CRV:WETH:BTC,av3CRV,34893419.77,WETH,34173166.5,BTC,69661671.17,n/a,0,138728257.44,Avalanche,Curve,V2,n/a
2021-11-18,av3CRV:BTC:WETH,av3CRV,35026346.1,BTC,1240.328835,WETH,8843.877514,n/a,0,35036430.306349,Avalanche,Curve,V2,n/a
2021-11-18,av3CRV:MIM,av3CRV,3.06e-10,MIM,303866.9982,n/a,0.0,n/a,0,303866.99820000026,Avalanche,Curve,V2,n/a
