id,blockNumber,timestamp,totalValueLockedUSD,protocolControlledValueUSD,mintedTokenSupplies,dailySupplySideRevenueUSD,dailyProtocolSideRevenueUSD,dailyTotalRevenueUSD,totalDepositBalanceUSD,totalBorrowBalanceUSD,dailyDepositUSD,dailyBorrowUSD,dailyLiquidateUSD,dailyWithdrawUSD,dailyRepayUSD,date,version,chain,instance,protocol
19040,14226738,1645142234,11150181538.18832473456806449977191,,,366162.7893708146928276218408637,50567.7286390114542908377982353,416730.518009826147118459639099,11150181538.18832473456806449977191,4272722226.930823372619274476265926,68706420.466175162862876105585892,12187754.462325571412677711479764,10427.18215560666052251114623750538,38401679.735688200901686055239704,25845470.165140677681343185376635,2022-02-17,V2,Ethereum,compound_ethereum,Compound
19041,14233081,1645227764,10923283171.71936670902812268473992,,,350392.26302266874803128742680755,48113.94213990101170811845003145,398506.205162569759739405876839,10923283171.71936670902812268473992,4210196421.641331243517110746498894,59935659.547248772541087093095505,18706415.202018492950163590937494,336471.834969014781017516933713931,145400638.974472735048971561837508,75017020.958134439188989782915706,2022-02-18,V2,Ethereum,compound_ethereum,Compound
19042,14239540,1645314760,10811343895.17083351843951406392923,,,359921.7590298328706213429450011,49741.7785170559664482279781349,409663.537546888837069570923136,10811343895.17083351843951406392923,4163483151.865250695294543932296868,27967502.950799506521045962640871,2576321.925610343802578534689312,27112.1579878550211879598146289902,90077052.700890182439102115653154,49708620.283645589479411285220684,2022-02-19,V2,Ethereum,compound_ethereum,Compound
19043,14246061,1645401198,10688447352.52067592321088251769333,,,352032.55369290581426869194451,49097.84541007761125290571389,401130.3991029834255215976584,10688447352.52067592321088251769333,4139825393.00844415007115846625146,186100261.206553719607738983476061,96677024.614408420930864316499688,256592.9293783894105381015131712068,127165899.318514129950253887366528,110760737.742746612520232504495058,2022-02-20,V2,Ethereum,compound_ethereum,Compound
19044,14252494,1645487663,10533339137.52525950742101378970292,,,372665.4579385641937484692894406,50273.3936659245116866684013654,422938.851604488705435137690806,10533339137.52525950742101378970292,4072761563.440229700149105864607059,60184057.897350442305389995180534,13817143.655939277847604218496288,84172.19436739458319370274783672653,102873712.774313645471374281635607,74726389.675038497602496770006175,2022-02-21,V2,Ethereum,compound_ethereum,Compound
19045,14258915,1645573238,10433037698.22640006703683146123337,,,337574.979997647006187476151734,47232.598849628225270755256632,384807.578847275231458231408366,10433037698.22640006703683146123337,3996610894.869187440576390607450143,16241383.126672535395768080171473,34046765.98021638541617123799754,269974.7548217178060465513427480944,172088328.501588823795257628157538,113966513.585974264089510105125432,2022-02-22,V2,Ethereum,compound_ethereum,Compound
19046,14265460,1645660651,10432241974.42974166715762227688376,,,346529.7442093699046506773418085,48240.8136437085780315452499745,394770.557853078482682222591783,10432241974.42974166715762227688376,4036348285.78851771879684001444356,109940978.261241857818559041873542,75330683.945121497408517147389558,1294.598577697235717561382744328207,71737330.667097665301610624304678,31227702.073066114774083970594301,2022-02-23,V2,Ethereum,compound_ethereum,Compound
19047,14271952,1645747149,10200547886.25906596482968440388416,,,312251.23100732778887572377351575,43821.75837385228894451491768125,356072.989381180077820238691197,10200547886.25906596482968440388416,3379933874.1201616901552155834101,1313728844.299731302547353650945531,419880697.039504264957133778432201,1143180.017048939684398215367616134,1556258468.259576241885592366904577,979349195.111449067787268443989265,2022-02-24,V2,Ethereum,compound_ethereum,Compound
19048,14278360,1645833299,10503002642.43962365669028619534835,,,296226.947609503042705936306001,38554.085876408252708233979889,334781.03348591129541417028589,10503002642.43962365669028619534835,3571322874.457872471065512835335789,463931655.887546435724798288923935,195874290.054432862131758460424786,12801698.17318404963485256324554988,400322053.672445147581185369833036,114093527.317052224046376434720984,2022-02-25,V2,Ethereum,compound_ethereum,Compound
19049,14284846,1645919989,10496528265.70987366552057981409279,,,299975.6024105805566968611357131,39145.9801964662281403431631269,339121.58260704678483720429884,10496528265.70987366552057981409279,3580433304.140907160451630491512009,34185846.513689297756835554663306,38737855.072427376250982052454128,10762.90165943880171811264698169115,90255241.136186758573564880063638,32877683.951785083594253118147504,2022-02-26,V2,Ethereum,compound_ethereum,Compound
